CWE_ID,num_functions,num_statements,func_accuracy,func_precision,func_recall,func_f1,stmt_accuracy,stmt_precision,stmt_recall,stmt_f1,func_pr_auc,stmt_pr_auc
CWE-665,1,17,1.0,1.0,1.0,1.0,0.8235294117647058,0.4117647058823529,0.5,0.45161290322580644,1.0,0.11552287581699347
CWE-241,2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-290,2,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-834,3,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-538,2,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-176,2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-212,3,75,1.0,1.0,1.0,1.0,0.9066666666666666,0.4594594594594595,0.4927536231884058,0.4755244755244755,1.0,0.13926219515829086
CWE-125,4,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-754,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-172,2,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-320,4,45,1.0,1.0,1.0,1.0,0.9111111111111111,0.45555555555555555,0.5,0.47674418604651164,1.0,0.32391774891774894
CWE-307,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-252,2,110,1.0,1.0,1.0,1.0,0.990909090909091,0.4954545454545455,0.5,0.4977168949771689,1.0,0.008771929824561403
CWE-840,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
